MapSplice_Breakpoint	Annotation
3609-15335	mid_frequency_deletion
3789-15403	mid_frequency_deletion
9469-13572	mid_frequency_deletion
5378-14150	mid_frequency_deletion
4197-13306	mid_frequency_deletion
14066-14413	mid_frequency_deletion
1241-15548	mid_frequency_deletion
3603-14073	mid_frequency_deletion
5002-14767	mid_frequency_deletion
6061-14568	mid_frequency_deletion
3321-13449	mid_frequency_deletion
4106-13449	mid_frequency_deletion
1698-13683	mid_frequency_deletion
440-11875	mid_frequency_deletion
168-16071	mid_frequency_deletion
547-14271	mid_frequency_deletion
4555-15286	mid_frequency_deletion
458-14529	mid_frequency_deletion
7747-15850	mid_frequency_deletion
4537-14575	mid_frequency_deletion
4106-15754	mid_frequency_deletion
6219-13584	mid_frequency_deletion
5128-13792	mid_frequency_deletion
8471-14529	mid_frequency_deletion
12103-14413	mid_frequency_deletion
4191-14316	mid_frequency_deletion
498-15372	mid_frequency_deletion
3255-16070	mid_frequency_deletion
591-14377	mid_frequency_deletion
2275-15850	mid_frequency_deletion
7520-14017	mid_frequency_deletion
4905-13449	mid_frequency_deletion
4167-15382	mid_frequency_deletion
1241-14815	mid_frequency_deletion
9030-15335	mid_frequency_deletion
9922-16072	mid_frequency_deletion
6363-13634	mid_frequency_deletion
6370-14055	mid_frequency_deletion
11226-15328	mid_frequency_deletion
6219-13968	mid_frequency_deletion
8467-14341	mid_frequency_deletion
502-14253	mid_frequency_deletion
4798-15286	mid_frequency_deletion
1233-14529	mid_frequency_deletion
2251-14807	mid_frequency_deletion
4106-14426	mid_frequency_deletion
6917-13552	mid_frequency_deletion
6840-14240	mid_frequency_deletion
186-16072	mid_frequency_deletion
708-13767	mid_frequency_deletion
959-15541	mid_frequency_deletion
652-14081	mid_frequency_deletion
6917-14419	mid_frequency_deletion
6545-14929	mid_frequency_deletion
308-15538	mid_frequency_deletion
481-14223	mid_frequency_deletion
3272-16078	mid_frequency_deletion
3270-16070	mid_frequency_deletion
1698-15981	mid_frequency_deletion
308-13683	mid_frequency_deletion
5228-13978	mid_frequency_deletion
8731-15491	mid_frequency_deletion
1698-14055	mid_frequency_deletion
7825-15212	mid_frequency_deletion
6356-13306	mid_frequency_deletion
4106-13584	mid_frequency_deletion
4181-14717	mid_frequency_deletion
166-16072	mid_frequency_deletion
591-15740	mid_frequency_deletion
7414-15421	mid_frequency_deletion
1698-14368	mid_frequency_deletion
6349-14067	mid_frequency_deletion
8684-14150	mid_frequency_deletion
3533-15517	mid_frequency_deletion
5123-14316	mid_frequency_deletion
9426-12026	mid_frequency_deletion
3402-14187	mid_frequency_deletion
3256-16072	mid_frequency_deletion
1233-14276	mid_frequency_deletion
4014-14563	mid_frequency_deletion
5890-14529	mid_frequency_deletion
5368-14067	mid_frequency_deletion
5368-13081	mid_frequency_deletion
8075-15538	mid_frequency_deletion
9146-12952	mid_frequency_deletion
9922-14867	mid_frequency_deletion
263-13487	mid_frequency_deletion
505-14554	mid_frequency_deletion
7475-14630	mid_frequency_deletion
3321-15335	mid_frequency_deletion
7185-14120	mid_frequency_deletion
594-14067	mid_frequency_deletion
3533-15503	mid_frequency_deletion
3597-15527	mid_frequency_deletion
1698-12465	mid_frequency_deletion
6545-14067	mid_frequency_deletion
528-14572	mid_frequency_deletion
147-16073	mid_frequency_deletion
3333-13993	mid_frequency_deletion
6843-14388	mid_frequency_deletion
1042-14558	mid_frequency_deletion
1677-13978	mid_frequency_deletion
458-15403	mid_frequency_deletion
591-13584	mid_frequency_deletion
5368-14413	mid_frequency_deletion
4167-14529	mid_frequency_deletion
1677-14529	mid_frequency_deletion
3603-13852	mid_frequency_deletion
3789-13449	mid_frequency_deletion
3264-16076	mid_frequency_deletion
150-16072	mid_frequency_deletion
153-15650	mid_frequency_deletion
505-16068	mid_frequency_deletion
7289-15073	mid_frequency_deletion
4398-14822	mid_frequency_deletion
5440-15536	mid_frequency_deletion
3819-13027	mid_frequency_deletion
7376-15082	mid_frequency_deletion
1656-14276	mid_frequency_deletion
4903-15681	mid_frequency_deletion
7863-14807	mid_frequency_deletion
7622-13944	mid_frequency_deletion
1698-16100	mid_frequency_deletion
4252-14067	mid_frequency_deletion
4167-14055	mid_frequency_deletion
1677-12080	mid_frequency_deletion
2251-15491	mid_frequency_deletion
5348-5482	mid_frequency_deletion
7126-10752	mid_frequency_deletion
2224-12026	mid_frequency_deletion
166-16115	mid_frequency_deletion
190-16072	mid_frequency_deletion
168-16069	mid_frequency_deletion
3263-16078	mid_frequency_deletion
8623-15663	mid_frequency_deletion
3538-15416	mid_frequency_deletion
7218-12116	mid_frequency_deletion
1714-15368	mid_frequency_deletion
308-14529	mid_frequency_deletion
3597-12969	mid_frequency_deletion
8471-15382	mid_frequency_deletion
6208-10969	mid_frequency_deletion
13435-15286	mid_frequency_deletion
8598-14150	mid_frequency_deletion
7699-14316	mid_frequency_deletion
5210-15491	mid_frequency_deletion
4106-15382	mid_frequency_deletion
10951-15740	mid_frequency_deletion
9640-14698	mid_frequency_deletion
8775-15491	mid_frequency_deletion
3186-14067	mid_frequency_deletion
8624-11146	mid_frequency_deletion
3321-13640	mid_frequency_deletion
4181-15403	mid_frequency_deletion
5368-13254	mid_frequency_deletion
167-16072	mid_frequency_deletion
150-16056	mid_frequency_deletion
739-14887	mid_frequency_deletion
7815-13581	mid_frequency_deletion
6476-14146	mid_frequency_deletion
3272-16069	mid_frequency_deletion
877-13634	mid_frequency_deletion
3538-15286	mid_frequency_deletion
1714-14335	mid_frequency_deletion
8568-14630	mid_frequency_deletion
1105-14067	mid_frequency_deletion
8467-15403	mid_frequency_deletion
6349-14055	mid_frequency_deletion
3603-14654	mid_frequency_deletion
3321-14335	mid_frequency_deletion
4874-12080	mid_frequency_deletion
8351-14341	mid_frequency_deletion
1127-14195	mid_frequency_deletion
5453-14815	mid_frequency_deletion
4909-14390	mid_frequency_deletion
5336-12412	mid_frequency_deletion
6295-13924	mid_frequency_deletion
5348-13329	mid_frequency_deletion
10307-13978	mid_frequency_deletion
464-15382	mid_frequency_deletion
8440-13381	mid_frequency_deletion
9359-14145	mid_frequency_deletion
4167-12080	mid_frequency_deletion
2224-16160	mid_frequency_deletion
505-14347	mid_frequency_deletion
6850-14395	mid_frequency_deletion
144-14815	mid_frequency_deletion
3609-12982	mid_frequency_deletion
4095-14414	mid_frequency_deletion
7407-15271	mid_frequency_deletion
3270-16078	mid_frequency_deletion
7752-15856	mid_frequency_deletion
959-15382	mid_frequency_deletion
3597-15382	mid_frequency_deletion
591-14055	mid_frequency_deletion
5368-15981	mid_frequency_deletion
1233-13640	mid_frequency_deletion
1241-14341	mid_frequency_deletion
7414-14568	mid_frequency_deletion
6664-15382	mid_frequency_deletion
591-14529	mid_frequency_deletion
5167-15082	mid_frequency_deletion
3791-14335	mid_frequency_deletion
1698-13792	mid_frequency_deletion
5900-12974	mid_frequency_deletion
7218-14163	mid_frequency_deletion
2513-14341	mid_frequency_deletion
4028-13818	mid_frequency_deletion
8775-15368	mid_frequency_deletion
5128-11299	mid_frequency_deletion
8791-14867	mid_frequency_deletion
7173-14093	mid_frequency_deletion
594-13846	mid_frequency_deletion
8775-14529	mid_frequency_deletion
403-14098	mid_frequency_deletion
8679-14226	mid_frequency_deletion
3486-14024	mid_frequency_deletion
5336-14529	mid_frequency_deletion
440-12026	mid_frequency_deletion
9030-15740	mid_frequency_deletion
2224-13855	mid_frequency_deletion
3538-13436	mid_frequency_deletion
2385-14643	mid_frequency_deletion
5348-13855	mid_frequency_deletion
5481-10980	mid_frequency_deletion
6219-12399	mid_frequency_deletion
309-14529	low_frequency_deletion
115-16072	low_frequency_deletion
4015-15540	low_frequency_deletion
5817-15403	low_frequency_deletion
7126-13978	low_frequency_deletion
117-16089	low_frequency_deletion
3603-14419	low_frequency_deletion
440-576	low_frequency_deletion
6219-10980	low_frequency_deletion
7440-13799	low_frequency_deletion
4238-14479	low_frequency_deletion
4065-14426	low_frequency_deletion
11230-13978	low_frequency_deletion
5106-14626	low_frequency_deletion
4014-14807	low_frequency_deletion
5354-14044	low_frequency_deletion
5336-13693	low_frequency_deletion
4167-14377	low_frequency_deletion
5348-13924	low_frequency_deletion
5134-13449	low_frequency_deletion
3533-10924	low_frequency_deletion
1677-11858	low_frequency_deletion
8624-15382	low_frequency_deletion
2328-15382	low_frequency_deletion
166-16151	low_frequency_deletion
983-16151	low_frequency_deletion
3629-16115	low_frequency_deletion
186-16071	low_frequency_deletion
3725-15684	low_frequency_deletion
4021-15276	low_frequency_deletion
3022-16072	low_frequency_deletion
2776-14365	low_frequency_deletion
3164-15403	low_frequency_deletion
4382-16072	low_frequency_deletion
2761-14621	low_frequency_deletion
3603-14929	low_frequency_deletion
6219-11868	low_frequency_deletion
7981-14563	low_frequency_deletion
983-15403	low_frequency_deletion
529-13688	low_frequency_deletion
5890-14413	low_frequency_deletion
9843-13487	low_frequency_deletion
5354-13999	low_frequency_deletion
3321-16083	low_frequency_deletion
7852-15228	low_frequency_deletion
529-13999	low_frequency_deletion
2224-14073	low_frequency_deletion
4252-15335	low_frequency_deletion
308-14626	low_frequency_deletion
4167-15491	low_frequency_deletion
5348-13449	low_frequency_deletion
2224-14024	low_frequency_deletion
6602-14150	low_frequency_deletion
5348-13792	low_frequency_deletion
4053-15538	low_frequency_deletion
5213-14529	low_frequency_deletion
6556-14795	low_frequency_deletion
828-15475	low_frequency_deletion
4197-14654	low_frequency_deletion
4167-13548	low_frequency_deletion
5336-13846	low_frequency_deletion
5167-16151	low_frequency_deletion
1706-15419	low_frequency_deletion
9497-13735	low_frequency_deletion
959-14807	low_frequency_deletion
6529-13830	low_frequency_deletion
3454-14916	low_frequency_deletion
4167-14771	low_frequency_deletion
316-15548	low_frequency_deletion
6545-13384	low_frequency_deletion
381-15850	low_frequency_deletion
8471-13792	low_frequency_deletion
3513-14055	low_frequency_deletion
7414-13693	low_frequency_deletion
6223-14282	low_frequency_deletion
5481-14150	low_frequency_deletion
1922-13855	low_frequency_deletion
464-14055	low_frequency_deletion
6219-14807	low_frequency_deletion
2363-14407	low_frequency_deletion
2224-14335	low_frequency_deletion
6556-14626	low_frequency_deletion
4106-15335	low_frequency_deletion
505-14529	low_frequency_deletion
5378-10622	low_frequency_deletion
5368-14647	low_frequency_deletion
6488-15335	low_frequency_deletion
9426-14067	low_frequency_deletion
5368-14341	low_frequency_deletion
6820-14368	low_frequency_deletion
10923-14150	low_frequency_deletion
2224-13384	low_frequency_deletion
2363-10804	low_frequency_deletion
8731-14413	low_frequency_deletion
1698-11146	low_frequency_deletion
8726-14004	low_frequency_deletion
919-15507	low_frequency_deletion
3597-14654	low_frequency_deletion
11602-15224	low_frequency_deletion
5150-14630	low_frequency_deletion
4206-14351	low_frequency_deletion
498-14813	low_frequency_deletion
969-14759	low_frequency_deletion
983-14771	low_frequency_deletion
166-16056	low_frequency_deletion
3263-13923	low_frequency_deletion
3263-16034	low_frequency_deletion
6872-15026	low_frequency_deletion
6005-15740	low_frequency_deletion
6424-14593	low_frequency_deletion
6592-14638	low_frequency_deletion
1241-13059	low_frequency_deletion
5362-14145	low_frequency_deletion
2513-14067	low_frequency_deletion
6820-15382	low_frequency_deletion
3629-15335	low_frequency_deletion
10355-13999	low_frequency_deletion
3570-14338	low_frequency_deletion
6820-15335	low_frequency_deletion
9329-15740	low_frequency_deletion
4382-15410	low_frequency_deletion
3321-14529	low_frequency_deletion
7852-15612	low_frequency_deletion
1714-12558	low_frequency_deletion
308-15382	low_frequency_deletion
4218-13019	low_frequency_deletion
6219-14529	low_frequency_deletion
1677-13640	low_frequency_deletion
5210-14825	low_frequency_deletion
3324-10752	low_frequency_deletion
10981-15416	low_frequency_deletion
2209-14205	low_frequency_deletion
8926-12080	low_frequency_deletion
7366-12360	low_frequency_deletion
4238-14377	low_frequency_deletion
11044-13436	low_frequency_deletion
5336-15410	low_frequency_deletion
10099-14130	low_frequency_deletion
5128-14916	low_frequency_deletion
166-16129	low_frequency_deletion
168-16072	low_frequency_deletion
145-16071	low_frequency_deletion
3257-16071	low_frequency_deletion
465-14341	low_frequency_deletion
1105-14413	low_frequency_deletion
8649-16086	low_frequency_deletion
464-15335	low_frequency_deletion
652-12941	low_frequency_deletion
2793-13860	low_frequency_deletion
7747-14825	low_frequency_deletion
4382-14368	low_frequency_deletion
6008-15475	low_frequency_deletion
458-11868	low_frequency_deletion
9756-14807	low_frequency_deletion
5167-15350	low_frequency_deletion
7520-13400	low_frequency_deletion
6491-13792	low_frequency_deletion
4259-14630	low_frequency_deletion
6048-15375	low_frequency_deletion
6556-9427	low_frequency_deletion
2275-10783	low_frequency_deletion
3969-14150	low_frequency_deletion
10240-14024	low_frequency_deletion
5167-15754	low_frequency_deletion
4055-14338	low_frequency_deletion
1714-14825	low_frequency_deletion
2254-14067	low_frequency_deletion
6545-13640	low_frequency_deletion
8775-14771	low_frequency_deletion
9081-16080	low_frequency_deletion
5194-13750	low_frequency_deletion
1630-15268	low_frequency_deletion
6497-15382	low_frequency_deletion
458-13449	low_frequency_deletion
1698-13027	low_frequency_deletion
3533-12116	low_frequency_deletion
2136-15939	low_frequency_deletion
591-15581	low_frequency_deletion
4055-14529	low_frequency_deletion
13020-14413	low_frequency_deletion
1233-13297	low_frequency_deletion
6233-13027	low_frequency_deletion
144-16112	low_frequency_deletion
4158-16151	low_frequency_deletion
560-15530	low_frequency_deletion
728-14876	low_frequency_deletion
186-16070	low_frequency_deletion
537-13951	low_frequency_deletion
465-14815	low_frequency_deletion
144-16072	low_frequency_deletion
3533-13924	low_frequency_deletion
3958-15738	low_frequency_deletion
7407-15413	low_frequency_deletion
7228-13918	low_frequency_deletion
498-14593	low_frequency_deletion
7762-15078	low_frequency_deletion
1233-14335	low_frequency_deletion
1233-14067	low_frequency_deletion
4537-14390	low_frequency_deletion
8684-15754	low_frequency_deletion
10923-15581	low_frequency_deletion
3570-15382	low_frequency_deletion
8440-14073	low_frequency_deletion
8574-14807	low_frequency_deletion
5210-15335	low_frequency_deletion
3819-15538	low_frequency_deletion
6061-13306	low_frequency_deletion
6005-11978	low_frequency_deletion
3321-15382	low_frequency_deletion
3597-14205	low_frequency_deletion
8991-13978	low_frequency_deletion
6820-13846	low_frequency_deletion
14054-15335	low_frequency_deletion
1677-8830	low_frequency_deletion
9042-15350	low_frequency_deletion
4598-13855	low_frequency_deletion
4028-14401	low_frequency_deletion
5368-12465	low_frequency_deletion
5481-14377	low_frequency_deletion
6310-15403	low_frequency_deletion
5485-14529	low_frequency_deletion
8926-14335	low_frequency_deletion
6840-15538	low_frequency_deletion
166-15990	low_frequency_deletion
4191-13678	low_frequency_deletion
5368-13846	low_frequency_deletion
591-15335	low_frequency_deletion
1105-14529	low_frequency_deletion
3486-14413	low_frequency_deletion
5368-14752	low_frequency_deletion
8471-14055	low_frequency_deletion
1233-13301	low_frequency_deletion
1677-14240	low_frequency_deletion
4382-12080	low_frequency_deletion
5368-15410	low_frequency_deletion
2224-12354	low_frequency_deletion
8460-14335	low_frequency_deletion
108-16111	low_frequency_deletion
9042-16151	low_frequency_deletion
488-14329	low_frequency_deletion
145-16072	low_frequency_deletion
522-14568	low_frequency_deletion
146-16078	low_frequency_deletion
3495-14813	low_frequency_deletion
3263-16074	low_frequency_deletion
499-14161	low_frequency_deletion
3256-16068	low_frequency_deletion
6425-13769	low_frequency_deletion
308-16072	low_frequency_deletion
676-13572	low_frequency_deletion
5786-16072	low_frequency_deletion
3570-14055	low_frequency_deletion
3629-14120	low_frequency_deletion
11602-13999	low_frequency_deletion
127-8591	low_frequency_deletion
3533-14701	low_frequency_deletion
4537-11858	low_frequency_deletion
4106-13836	low_frequency_deletion
166-14685	low_frequency_deletion
472-15335	low_frequency_deletion
5890-14067	low_frequency_deletion
5839-13999	low_frequency_deletion
5481-14314	low_frequency_deletion
480-6536	low_frequency_deletion
7807-13846	low_frequency_deletion
591-15444	low_frequency_deletion
6545-14004	low_frequency_deletion
591-14067	low_frequency_deletion
5444-13449	low_frequency_deletion
7966-13792	low_frequency_deletion
7177-14807	low_frequency_deletion
3486-12035	low_frequency_deletion
8422-14150	low_frequency_deletion
5359-10752	low_frequency_deletion
6545-14205	low_frequency_deletion
5817-15382	low_frequency_deletion
6041-15491	low_frequency_deletion
4185-15403	low_frequency_deletion
5336-13390	low_frequency_deletion
7905-14643	low_frequency_deletion
8624-15548	low_frequency_deletion
1241-13653	low_frequency_deletion
2275-15403	low_frequency_deletion
8440-14024	low_frequency_deletion
4874-14240	low_frequency_deletion
4259-13776	low_frequency_deletion
1714-14566	low_frequency_deletion
8775-15740	low_frequency_deletion
591-14024	low_frequency_deletion
12984-15491	low_frequency_deletion
7930-15503	low_frequency_deletion
13452-15976	low_frequency_deletion
5123-12913	low_frequency_deletion
4185-13855	low_frequency_deletion
11101-15740	low_frequency_deletion
12103-13999	low_frequency_deletion
4106-14377	low_frequency_deletion
15490-15740	low_frequency_deletion
5381-13939	low_frequency_deletion
2175-11603	low_frequency_deletion
5186-15403	low_frequency_deletion
144-16168	low_frequency_deletion
3324-16115	low_frequency_deletion
166-16070	low_frequency_deletion
4254-14495	low_frequency_deletion
147-16105	low_frequency_deletion
3974-15631	low_frequency_deletion
526-14568	low_frequency_deletion
308-15268	low_frequency_deletion
3270-13923	low_frequency_deletion
906-13818	low_frequency_deletion
3264-16069	low_frequency_deletion
3260-16034	low_frequency_deletion
308-14815	low_frequency_deletion
3469-14401	low_frequency_deletion
3609-13999	low_frequency_deletion
186-16073	low_frequency_deletion
3272-16067	low_frequency_deletion
147-16053	low_frequency_deletion
7650-15717	low_frequency_deletion
7992-15730	low_frequency_deletion
3256-16073	low_frequency_deletion
8561-13985	low_frequency_deletion
3269-16068	low_frequency_deletion
6504-13805	low_frequency_deletion
8574-12982	low_frequency_deletion
458-14118	low_frequency_deletion
6545-14807	low_frequency_deletion
7867-13855	low_frequency_deletion
3538-15444	low_frequency_deletion
7499-14638	low_frequency_deletion
6906-11451	low_frequency_deletion
6363-13139	low_frequency_deletion
1241-16056	low_frequency_deletion
1698-13129	low_frequency_deletion
7732-13868	low_frequency_deletion
6545-14990	low_frequency_deletion
2209-14413	low_frequency_deletion
9042-13999	low_frequency_deletion
5960-15335	low_frequency_deletion
591-14807	low_frequency_deletion
7366-14589	low_frequency_deletion
5453-15548	low_frequency_deletion
11461-15740	low_frequency_deletion
5336-13449	low_frequency_deletion
8726-14407	low_frequency_deletion
440-11521	low_frequency_deletion
2420-13634	low_frequency_deletion
1677-14630	low_frequency_deletion
4874-11526	low_frequency_deletion
4167-9043	low_frequency_deletion
1105-10752	low_frequency_deletion
983-14407	low_frequency_deletion
1714-14529	low_frequency_deletion
6423-13968	low_frequency_deletion
7376-12369	low_frequency_deletion
11506-14413	low_frequency_deletion
4106-14807	low_frequency_deletion
144-14377	low_frequency_deletion
3903-6567	low_frequency_deletion
4798-13436	low_frequency_deletion
5481-13792	low_frequency_deletion
6602-14341	low_frequency_deletion
277-15491	low_frequency_deletion
5106-12019	low_frequency_deletion
1714-13640	low_frequency_deletion
591-15491	low_frequency_deletion
6370-14067	low_frequency_deletion
8775-14377	low_frequency_deletion
5167-14558	low_frequency_deletion
7189-14630	low_frequency_deletion
676-9470	low_frequency_deletion
9042-14909	low_frequency_deletion
7650-13059	low_frequency_deletion
11532-14150	low_frequency_deletion
9081-15403	low_frequency_deletion
1922-14024	low_frequency_deletion
5359-14150	low_frequency_deletion
8970-9031	low_frequency_deletion
591-14098	low_frequency_deletion
5481-12080	low_frequency_deletion
440-14395	low_frequency_deletion
2209-14807	low_frequency_deletion
5354-14316	low_frequency_deletion
147-15335	low_frequency_deletion
1042-15609	low_frequency_deletion
1714-13779	low_frequency_deletion
3454-14004	low_frequency_deletion
9042-16129	low_frequency_deletion
127-16151	low_frequency_deletion
4382-16115	low_frequency_deletion
1677-16168	low_frequency_deletion
248-16072	low_frequency_deletion
1900-16002	low_frequency_deletion
168-16052	low_frequency_deletion
2333-16078	low_frequency_deletion
491-14584	low_frequency_deletion
473-15212	low_frequency_deletion
147-16068	low_frequency_deletion
537-15530	low_frequency_deletion
114-16072	low_frequency_deletion
3538-14792	low_frequency_deletion
2821-16072	low_frequency_deletion
777-15335	low_frequency_deletion
498-14118	low_frequency_deletion
912-15280	low_frequency_deletion
3257-16072	low_frequency_deletion
505-14807	low_frequency_deletion
3464-14905	low_frequency_deletion
3315-15522	low_frequency_deletion
5330-16072	low_frequency_deletion
8428-15482	low_frequency_deletion
8647-15369	low_frequency_deletion
739-14647	low_frequency_deletion
2543-13978	low_frequency_deletion
3262-16080	low_frequency_deletion
6005-15335	low_frequency_deletion
3819-13306	low_frequency_deletion
6254-13712	low_frequency_deletion
6989-15911	low_frequency_deletion
5890-14807	low_frequency_deletion
3321-15491	low_frequency_deletion
5336-14073	low_frequency_deletion
3321-14377	low_frequency_deletion
1105-11978	low_frequency_deletion
6335-13516	low_frequency_deletion
3515-14359	low_frequency_deletion
308-14055	low_frequency_deletion
9289-14884	low_frequency_deletion
9289-14529	low_frequency_deletion
277-15821	low_frequency_deletion
4028-13384	low_frequency_deletion
6423-15403	low_frequency_deletion
10903-16083	low_frequency_deletion
1845-13792	low_frequency_deletion
8467-15548	low_frequency_deletion
2513-15382	low_frequency_deletion
9756-13449	low_frequency_deletion
8428-13516	low_frequency_deletion
8926-13939	low_frequency_deletion
5128-10987	low_frequency_deletion
140-13449	low_frequency_deletion
4167-14187	low_frequency_deletion
344-549	low_frequency_deletion
6335-15740	low_frequency_deletion
1651-15293	low_frequency_deletion
6343-11914	low_frequency_deletion
1698-13081	low_frequency_deletion
6449-14647	low_frequency_deletion
2385-11978	low_frequency_deletion
7650-13436	low_frequency_deletion
10751-14529	low_frequency_deletion
11058-14529	low_frequency_deletion
5336-13436	low_frequency_deletion
9189-14929	low_frequency_deletion
5327-15335	low_frequency_deletion
3629-15548	low_frequency_deletion
5134-14055	low_frequency_deletion
11258-15821	low_frequency_deletion
5210-14807	low_frequency_deletion
8608-14377	low_frequency_deletion
4885-13988	low_frequency_deletion
1233-10948	low_frequency_deletion
1714-12412	low_frequency_deletion
1241-14887	low_frequency_deletion
166-11250	low_frequency_deletion
8791-10980	low_frequency_deletion
3533-13431	low_frequency_deletion
4903-15538	low_frequency_deletion
5167-13792	low_frequency_deletion
7816-14529	low_frequency_deletion
3609-15382	low_frequency_deletion
6510-14377	low_frequency_deletion
4106-14390	low_frequency_deletion
2224-14341	low_frequency_deletion
594-15681	low_frequency_deletion
828-16072	low_frequency_deletion
8624-13653	low_frequency_deletion
6556-13683	low_frequency_deletion
5336-14004	low_frequency_deletion
381-14191	low_frequency_deletion
5348-7127	low_frequency_deletion
3612-15503	low_frequency_deletion
5128-14407	low_frequency_deletion
4191-14529	low_frequency_deletion
2251-14098	low_frequency_deletion
4903-14529	low_frequency_deletion
3552-11285	low_frequency_deletion
5103-14377	low_frequency_deletion
4065-13034	low_frequency_deletion
10968-14004	low_frequency_deletion
4259-14401	low_frequency_deletion
792-13855	low_frequency_deletion
14023-14329	low_frequency_deletion
1702-14912	low_frequency_deletion
1845-10241	low_frequency_deletion
